Empresa_LE,Especie_LE,Código Centro_LE,Periodo Información_1er Semestre 2023,Periodo Información_1er Semestre 2024,Periodo Información_2do Semestre 2023,Periodo Información_nan,ciclo_dias,Toneladas Cosechadas
13,4,381,1.0,0.0,0.0,0.0,242.0,2742184.0
13,5,389,1.0,0.0,0.0,0.0,425.0,284576.0
27,5,402,1.0,0.0,0.0,0.0,517.0,5307296.0
10,5,407,1.0,0.0,0.0,0.0,607.0,3423552.0
10,5,412,1.0,0.0,0.0,0.0,576.0,3379204.0
19,5,413,1.0,0.0,0.0,0.0,667.0,4046081.0
8,5,419,1.0,0.0,0.0,0.0,485.0,4984972.0
18,5,426,1.0,0.0,0.0,0.0,515.0,5462121.0
3,5,427,1.0,0.0,0.0,0.0,607.0,12622896.0
10,5,428,1.0,0.0,0.0,0.0,637.0,401264.0
18,5,429,1.0,0.0,0.0,0.0,545.0,4100467.0
18,5,430,1.0,0.0,0.0,0.0,546.0,5304766.0
8,5,433,1.0,0.0,0.0,0.0,486.0,3726569.0
27,5,434,1.0,0.0,0.0,0.0,515.0,4297358.0
8,5,436,1.0,0.0,0.0,0.0,485.0,369487.0
10,4,0,0.0,0.0,1.0,0.0,302.0,1983089.0
4,4,4,0.0,0.0,1.0,0.0,152.0,3064259.0
17,5,6,0.0,0.0,1.0,0.0,455.0,4159645.0
23,4,11,0.0,0.0,1.0,0.0,333.0,1732672.0
26,4,16,0.0,0.0,1.0,0.0,243.0,377282.0
26,4,19,0.0,0.0,1.0,0.0,272.0,176986.0
26,4,21,0.0,0.0,1.0,0.0,303.0,3263942.0
25,4,34,0.0,0.0,1.0,0.0,334.0,3386516.0
34,4,37,0.0,0.0,1.0,0.0,305.0,4845582.0
4,4,40,0.0,0.0,1.0,0.0,303.0,3676149.0
26,4,43,0.0,0.0,1.0,0.0,274.0,3938227.0
16,5,47,0.0,0.0,1.0,0.0,425.0,5078728.0
4,4,51,0.0,0.0,1.0,0.0,243.0,4842007.0
4,4,61,0.0,0.0,1.0,0.0,303.0,2477401.0
29,5,63,0.0,0.0,1.0,0.0,456.0,10341971.0
16,5,65,0.0,0.0,1.0,0.0,576.0,8899203.0
23,4,67,0.0,0.0,1.0,0.0,364.0,117726.0
23,4,68,0.0,0.0,1.0,0.0,364.0,1927148.0
15,5,77,0.0,0.0,1.0,0.0,486.0,4708602.0
10,5,100,0.0,0.0,1.0,0.0,486.0,5124943.0
12,5,102,0.0,0.0,1.0,0.0,486.0,5868957.0
16,5,109,0.0,0.0,1.0,0.0,517.0,6571468.0
17,5,110,0.0,0.0,1.0,0.0,394.0,2754246.0
29,5,122,0.0,0.0,1.0,0.0,395.0,4348301.0
35,5,129,0.0,0.0,1.0,0.0,456.0,4161707.0
9,4,138,0.0,0.0,1.0,0.0,302.0,270651.0
14,4,142,0.0,0.0,1.0,0.0,274.0,3127583.0
16,5,151,0.0,0.0,1.0,0.0,455.0,4256323.0
35,4,162,0.0,0.0,1.0,0.0,274.0,3149644.0
13,5,167,0.0,0.0,1.0,0.0,426.0,6225264.0
13,5,168,0.0,0.0,1.0,0.0,425.0,3085105.0
13,5,169,0.0,0.0,1.0,0.0,487.0,6541187.0
16,5,174,0.0,0.0,1.0,0.0,486.0,1737539.0
13,5,175,0.0,0.0,1.0,0.0,455.0,7198411.0
16,5,176,0.0,0.0,1.0,0.0,487.0,4235631.0
34,5,178,0.0,0.0,1.0,0.0,456.0,5556876.0
16,5,179,0.0,0.0,1.0,0.0,456.0,6440473.0
13,4,180,0.0,0.0,1.0,0.0,120.0,1928.0
5,4,187,0.0,0.0,1.0,0.0,91.0,3471.0
11,4,189,0.0,0.0,1.0,0.0,273.0,2423788.0
11,5,191,0.0,0.0,1.0,0.0,486.0,4213492.0
13,5,196,0.0,0.0,1.0,0.0,122.0,2577.0
13,5,198,0.0,0.0,1.0,0.0,122.0,2535.0
17,5,201,0.0,0.0,1.0,0.0,456.0,3504915.0
17,5,202,0.0,0.0,1.0,0.0,426.0,6113326.0
10,5,208,0.0,0.0,1.0,0.0,364.0,2217935.0
24,4,217,0.0,0.0,1.0,0.0,333.0,1395409.0
11,4,224,0.0,0.0,1.0,0.0,242.0,20058.0
